date,open,high,low,close,volume
1672531200000,1196.8,1197,1194.85,1194.85,3492.19
1672532100000,1194.85,1197.1,1194.85,1197.1,2824.56
1672533000000,1197.1,1197.1,1193.15,1194,10875.23
1672533900000,1194,1195.35,1194,1194.5,1941.23
1672534800000,1194.5,1196.25,1194.3,1195.95,4448.34
1672535700000,1195.95,1196.25,1195.7,1196.05,1037.67
1672536600000,1196.05,1196.2,1195.35,1195.4,1241.23
1672537500000,1195.4,1197.05,1195.4,1196.65,2833.66
1672538400000,1196.65,1196.65,1194.75,1195.9,2271.84
1672539300000,1195.9,1196.85,1195.65,1196.8,1527.89
1672540200000,1196.8,1197.45,1196.45,1196.5,1427.44
1672541100000,1196.5,1196.55,1196.35,1196.35,376.22
1672542000000,1196.35,1196.4,1193.15,1193.9,7153.07
1672542900000,1193.9,1194.3,1191.9,1194.05,7598.53
1672543800000,1194.05,1194.7,1193.85,1194.7,2128.42
1672544700000,1194.7,1195.2,1194.55,1194.75,982.81
1672545600000,1194.75,1194.75,1193.35,1193.55,2387.68
1672546500000,1193.55,1193.85,1191.35,1193.25,6561.95
1672547400000,1193.25,1194.2,1193.15,1193.15,2608.55
1672548300000,1193.15,1194,1193.1,1193.95,1697.63
1672549200000,1193.95,1194.35,1193.8,1194.25,1589.01
1672550100000,1194.25,1195,1194,1194.95,2652.71
1672551000000,1194.95,1195.05,1194.3,1194.75,1023.45
1672551900000,1194.75,1195.4,1194.75,1195.35,1130.5
1672552800000,1195.35,1195.8,1194.8,1195.15,2016.19
1672553700000,1195.15,1195.9,1195,1195.3,1229.95
1672554600000,1195.3,1195.35,1194.5,1195.3,1330.77
1672555500000,1195.3,1195.7,1195.1,1195.65,1719.72
1672556400000,1195.65,1196,1194.6,1195.3,2175.57
1672557300000,1195.3,1195.3,1193.85,1195.25,3166.46
1672558200000,1195.25,1195.8,1194.6,1195.75,1826.03
1672559100000,1195.75,1196.6,1195.2,1195.9,2276.16
1672560000000,1195.9,1196.55,1195.2,1195.25,2031.78
1672560900000,1195.25,1196.25,1195.2,1196.2,925.77
1672561800000,1196.2,1196.25,1194.75,1194.95,1488.12
1672562700000,1194.95,1195.25,1194.75,1194.95,569.72
1672563600000,1194.95,1195.15,1194.7,1195.1,542.3
1672564500000,1195.1,1196.5,1195.1,1195.55,1459.71
1672565400000,1195.55,1196.85,1195.55,1196.8,1896.17
1672566300000,1196.8,1197.25,1196.45,1197.25,1601.33
1672567200000,1197.25,1197.25,1196.55,1197.15,3464.22
1672568100000,1197.15,1197.2,1196.85,1197.05,521.24
1672569000000,1197.05,1197.05,1196.3,1196.45,1815.15
1672569900000,1196.45,1198.1,1196.45,1197.85,2390.96
1672570800000,1197.85,1198.5,1197.45,1197.9,3619.05
1672571700000,1197.9,1197.9,1196.8,1196.95,1164.57
1672572600000,1196.95,1197.3,1196.7,1196.7,993.79
1672573500000,1196.7,1196.95,1196.4,1196.95,879.45
1672574400000,1196.95,1198,1196.65,1197.9,3643.62
1672575300000,1197.9,1199.05,1197.25,1198.2,6336.4
1672576200000,1198.2,1198.95,1197.35,1197.55,1732.54
1672577100000,1197.55,1198.1,1197.5,1197.7,1122.41
1672578000000,1197.7,1197.75,1196.9,1197,2389.34
1672578900000,1197,1197.05,1196.4,1196.65,1750.49
1672579800000,1196.65,1196.8,1194.25,1195,6943.85
1672580700000,1195,1195.75,1194.75,1195.75,2606.98
1672581600000,1195.75,1195.9,1195.35,1195.85,2751.92
1672582500000,1195.85,1196,1195.85,1196,998.8
1672583400000,1196,1196,1195.25,1195.35,1446.83
1672584300000,1195.35,1195.7,1194.95,1195,1079.43
1672585200000,1195,1195.55,1194.95,1195.5,1940.75
1672586100000,1195.5,1196,1194.8,1195.8,1803.73
1672587000000,1195.8,1196.25,1195.7,1196.25,2052.1
1672587900000,1196.25,1197.1,1195.9,1197.05,3004.79
1672588800000,1197.05,1197.75,1196,1196.4,6329.8
1672589700000,1196.4,1198,1196.4,1198,2122.6
1672590600000,1198,1198.45,1196.9,1197,4179.23
1672591500000,1197,1198.3,1197,1197.45,1783.09
1672592400000,1197.45,1198.65,1197.45,1198.4,3101.99
1672593300000,1198.4,1204.1,1198.35,1201.2,31032.4
1672594200000,1201.2,1202,1200.55,1201.35,4437.32
1672595100000,1201.35,1201.35,1200.7,1201.15,2188.44
1672596000000,1201.15,1203,1201.1,1201.95,5242.55
1672596900000,1201.95,1202.25,1201.45,1201.7,1450.99
1672597800000,1201.7,1202.15,1201.25,1201.75,1723.55
1672598700000,1201.75,1201.75,1201.1,1201.45,1274.62
1672599600000,1201.45,1203.5,1201.4,1203.35,2989.21
1672600500000,1203.35,1204.7,1202.55,1203.85,6795.09
1672601400000,1203.85,1204,1202.8,1202.8,2394.67
1672602300000,1202.8,1202.85,1201.6,1202.05,2928.75
1672603200000,1202.05,1202.6,1201.55,1202.4,2285.11
1672604100000,1202.4,1205.05,1202.4,1203.15,10982.01
1672605000000,1203.15,1203.8,1202.25,1202.25,1751.83
1672605900000,1202.25,1202.5,1201.35,1201.4,3237.89
1672606800000,1201.4,1201.7,1200.65,1200.7,2088.87
1672607700000,1200.7,1202.1,1200.7,1202.1,1325.83
1672608600000,1202.1,1202.45,1201.8,1202.35,1306.85
1672609500000,1202.35,1202.95,1202.25,1202.6,1578.59
1672610400000,1202.6,1202.95,1202.2,1202.2,3207.45
1672611300000,1202.2,1202.45,1202.05,1202.25,1571.92
1672612200000,1202.25,1202.3,1202,1202,1300.11
1672613100000,1202,1202.05,1200.4,1201.05,1589.43
1672614000000,1201.05,1202.8,1200.35,1202.15,3449.89
1672614900000,1202.15,1202.4,1200.35,1200.4,2884.36
1672615800000,1200.4,1201.25,1199.25,1200.65,3523.21
1672616700000,1200.65,1201.2,1199.4,1200.6,2170.18
1672617600000,1200.6,1201.05,1199.6,1199.95,3714.46
1672618500000,1199.95,1200,1198.15,1198.25,5993.15
1672619400000,1198.25,1199,1197.3,1198.55,4885.55
1672620300000,1198.55,1198.9,1197.75,1198.45,1436.63
1672621200000,1198.45,1198.5,1195.2,1196.25,12606.53
1672622100000,1196.25,1196.45,1193.25,1196.2,14532.27
1672623000000,1196.2,1196.55,1195.45,1195.95,2511.53
1672623900000,1195.95,1196,1195.35,1195.35,1260.78
1672624800000,1195.35,1196.25,1194.6,1196.25,2854.03
1672625700000,1196.25,1196.4,1195.85,1196.3,1756.01
1672626600000,1196.3,1196.9,1196.25,1196.85,2313.8
1672627500000,1196.85,1197.3,1196.7,1196.75,1450.05
1672628400000,1196.75,1197,1196.6,1196.65,1660.27
1672629300000,1196.65,1197.05,1196.6,1196.8,512.23
1672630200000,1196.8,1197.75,1196.8,1197.75,1042.38
1672631100000,1197.75,1203.6,1197.45,1201.7,21192.4
1672632000000,1201.7,1202.5,1200.45,1200.6,5274.53
1672632900000,1200.6,1201.1,1200.05,1200.6,3718.45
1672633800000,1200.6,1201.75,1200.05,1200.75,2520.7
1672634700000,1200.75,1201.85,1200.6,1201.85,2250.93
1672635600000,1201.85,1202,1200.8,1201.2,2536.58
1672636500000,1201.2,1201.8,1200.25,1201.7,2175.62
1672637400000,1201.7,1202.35,1201.05,1202.3,2311.35
1672638300000,1202.3,1202.75,1202.15,1202.25,2232.39
1672639200000,1202.25,1204,1202.25,1202.55,6272.64
1672640100000,1202.55,1203.6,1202.35,1202.35,2080.39
1672641000000,1202.35,1202.4,1200.5,1200.75,3954.45
1672641900000,1200.75,1201.6,1200.6,1201.5,1190.43
1672642800000,1201.5,1208,1201.2,1207.9,13832.21
1672643700000,1207.9,1221,1206.1,1213.2,85632.45
1672644600000,1213.2,1216.5,1212.5,1214.9,14469.33
1672645500000,1214.9,1215.6,1213,1213.05,5800.87
1672646400000,1213.05,1214.8,1212.5,1214.4,6134.44
1672647300000,1214.4,1215.95,1213.5,1215,7645.44
1672648200000,1215,1217,1214.95,1215.05,4590.04
1672649100000,1215.05,1216.15,1213.95,1215.3,5399.98
1672650000000,1215.3,1218.5,1215.25,1216.4,10995.95
1672650900000,1216.4,1218,1216.25,1216.6,4252.67
1672651800000,1216.6,1218.85,1216.3,1217.9,9085.12
1672652700000,1217.9,1218,1216.35,1216.7,4275.53
1672653600000,1216.7,1225.75,1216.2,1219.25,37422.13
1672654500000,1219.25,1219.85,1217.5,1217.8,6933.62
1672655400000,1217.8,1219,1216.5,1216.75,6617.41
1672656300000,1216.75,1217.6,1216.75,1216.9,4367.25
1672657200000,1216.9,1217.2,1216.35,1216.75,3183.4
1672658100000,1216.75,1216.75,1215.3,1215.45,5875.66
1672659000000,1215.45,1216.6,1213.65,1216,10005.92
1672659900000,1216,1217,1216,1216.9,2884.22
1672660800000,1216.9,1217.3,1216.4,1216.9,4495.46
1672661700000,1216.9,1217.9,1216.6,1217.3,4097.24
1672662600000,1217.3,1217.5,1216.5,1216.55,2213.36
1672663500000,1216.55,1216.9,1216.05,1216.1,2128.5
1672664400000,1216.1,1216.35,1215,1215.75,3880.51
1672665300000,1215.75,1215.95,1214.75,1215.75,2321.14
1672666200000,1215.75,1215.8,1213.25,1213.5,7101.66
1672667100000,1213.5,1214.8,1213.45,1214.4,3469.62
1672668000000,1214.4,1218.1,1214.4,1215.9,14908.54
1672668900000,1215.9,1216.8,1214.75,1215.35,3287.37
1672669800000,1215.35,1215.9,1214.35,1215.8,6186.53
1672670700000,1215.8,1216.4,1215.65,1216.25,2578.76
1672671600000,1216.25,1217.3,1215.5,1216.7,5020.55
1672672500000,1216.7,1219.5,1216.65,1217.8,12166.38
1672673400000,1217.8,1221,1217.8,1220.05,10749.96
1672674300000,1220.05,1220.1,1218.1,1218.45,5384.75
1672675200000,1218.45,1219.1,1217.8,1218.8,5477.47
1672676100000,1218.8,1218.8,1217.85,1217.95,3172.81
1672677000000,1217.95,1218.15,1217.8,1218.15,2248.3
1672677900000,1218.15,1218.15,1215.95,1216.2,5036.93
1672678800000,1216.2,1216.9,1215.2,1215.55,5482.52
1672679700000,1215.55,1216.5,1215.5,1216.45,1742.69
1672680600000,1216.45,1217,1215.3,1215.65,7513.09
1672681500000,1215.65,1216.75,1215.6,1216.7,1368.53
1672682400000,1216.7,1216.75,1216.4,1216.45,683.01
1672683300000,1216.45,1218,1216.4,1217.55,3307.88
1672684200000,1217.55,1218,1217.4,1217.65,2354.3
1672685100000,1217.65,1219.05,1217.35,1217.75,4487.75
1672686000000,1217.75,1218,1217.7,1218,1440.33
1672686900000,1218,1218.3,1217.1,1217.1,1166.33
1672687800000,1217.1,1217.9,1217.1,1217.9,374.6
1672688700000,1217.9,1219,1217.85,1218.8,1664.48
1672689600000,1218.8,1218.85,1216.25,1217.1,2502.76
1672690500000,1217.1,1218,1216.45,1217.85,1288.39
1672691400000,1217.85,1218.4,1217,1218.4,2868.88
1672692300000,1218.4,1218.4,1217.5,1217.9,1024.49
1672693200000,1217.9,1219.5,1217.65,1218.45,4091.4
1672694100000,1218.45,1218.5,1217.5,1218,779.34
1672695000000,1218,1218.85,1217.85,1217.95,1565.09
1672695900000,1217.95,1223.9,1217.95,1219.45,12349.87
1672696800000,1219.45,1220,1217.3,1217.45,8615.1
1672697700000,1217.45,1217.75,1217.15,1217.2,1880.82
1672698600000,1217.2,1217.75,1216.05,1216.55,5978.93
1672699500000,1216.55,1216.55,1209.3,1214.55,21651.67
1672700400000,1214.55,1216.75,1212.45,1215.45,4863.82
1672701300000,1215.45,1215.9,1214.5,1215.35,2828.29
1672702200000,1215.35,1215.8,1214,1215.55,2517.23
1672703100000,1215.55,1215.55,1213.05,1213.55,5597.73
1672704000000,1213.55,1215.4,1212.9,1215.4,6250.39
1672704900000,1215.4,1215.45,1214.15,1214.25,1453.87
1672705800000,1214.25,1216.45,1214.05,1216.15,3880.71
1672706700000,1216.15,1216.65,1215.25,1215.4,2973.68
1672707600000,1215.4,1215.65,1214.05,1214.15,3541.03
1672708500000,1214.15,1214.15,1210.95,1212.2,10740.14
1672709400000,1212.2,1214,1211.35,1213.3,4182.84
1672710300000,1213.3,1214.2,1212.8,1214,1395.09
