date,open,high,low,close,volume
1609459200000,736.55,739.55,730.05,734.5,4099.21
1609462800000,734.5,750.05,734.15,749.6,4318.47
1609466400000,749.6,749.85,743.7,745.55,1767.33
1609470000000,745.55,747.75,744.1,745.75,1876.55
1609473600000,745.75,747.45,740.7,743.3,1046.68
1609477200000,743.3,744.05,741,741.65,474
1609480800000,741.65,743.65,738.1,740.15,1602.03
1609484400000,740.15,740.85,734.95,737.75,2716.53
1609488000000,737.75,739.1,725.6,731.5,3547.61
1609491600000,731.5,735.1,730.2,734.2,1024.82
1609495200000,734.2,739,733.8,737.05,1843.74
1609498800000,737.05,742.2,736.85,739.45,2048.48
1609502400000,739.45,744.3,732.9,733.75,3551.49
1609506000000,733.75,742.5,733.65,740.85,1344.12
1609509600000,740.85,743.4,737.1,738.5,1358.21
1609513200000,738.5,740,733.9,736.25,1348.17
1609516800000,736.25,738.15,733.8,736.3,824.27
1609520400000,736.3,736.85,727.7,728.65,1659.36
1609524000000,728.65,732.55,714.75,724.95,11383.56
1609527600000,724.95,728.3,721.75,725.8,2533.92
1609531200000,725.8,731.2,722.75,730.4,4287.36
1609534800000,730.4,730.8,727.5,728.65,713.21
1609538400000,728.65,732.5,726.6,729.35,865.58
1609542000000,729.35,731.1,728.5,729.5,1048.6
1609545600000,729.5,730.45,717.05,720.75,3478.37
1609549200000,720.75,732,715.7,730.15,5546.43
1609552800000,730.15,734.7,729.95,730.5,2532.72
1609556400000,730.5,732.45,729.35,730.9,721
1609560000000,730.9,731.05,726.9,729.85,5240.46
1609563600000,729.85,733.7,729.85,732.5,2280.05
1609567200000,732.5,741,731.3,737.5,2146.11
1609570800000,737.5,739,733.45,735.6,2791.39
1609574400000,735.6,738.9,729.4,734.6,1471.56
1609578000000,734.6,734.9,723.6,726.4,1656.26
1609581600000,726.4,734.1,724,729.1,2407.44
1609585200000,729.1,731.75,728.35,730.65,378.52
1609588800000,730.65,758,729.4,753.3,9510.81
1609592400000,753.3,774.2,750.95,771.6,9056.69
1609596000000,771.6,772.3,755.45,761.75,8855.31
1609599600000,761.75,769.65,761.7,769.55,2288.62
1609603200000,769.55,785.15,765.5,783.7,10598.63
1609606800000,783.7,786.7,775.5,779.95,4614.32
1609610400000,779.95,785.45,772.85,781,4379.02
1609614000000,781,788.5,777.95,785.1,3635.28
1609617600000,785.1,785.8,756.1,760.4,11178.91
1609621200000,760.4,771.45,754.85,769.55,8057.64
1609624800000,769.55,774.6,766.1,772.55,3432.32
1609628400000,772.55,778.2,764.05,774.85,4113.85
1609632000000,774.85,779.15,771.85,776.95,2141.56
1609635600000,776.95,778.95,773,777.35,5597.83
1609639200000,777.35,781.95,776.05,779.35,1103.89
1609642800000,779.35,779.35,772,773.1,2034.06
1609646400000,773.1,778.75,769.85,778.45,1918.41
1609650000000,778.45,791.55,776.9,786.95,8672.03
1609653600000,786.95,803,784.4,800.2,3893.68
1609657200000,800.2,807,796.15,800.55,3590.15
1609660800000,800.55,821.6,792.2,818.85,6188.12
1609664400000,818.85,826.3,813.55,819.6,2814.66
