date,open,high,low,close,volume
1672531200000,16549.5,16550,16549.5,16549.5,24.386
1672531260000,16549.5,16551.5,16549.5,16551.5,14.42
1672531320000,16551.5,16551.5,16548,16548.5,37.491
1672531380000,16548.5,16548.5,16543.5,16544,24.048
1672531440000,16544,16545.5,16541.5,16545,19.314
1672531500000,16545,16547,16545,16547,8.329
1672531560000,16547,16549,16546.5,16547,6.297
1672531620000,16547,16549,16547,16548.5,4.654
1672531680000,16548.5,16548.5,16542.5,16542.5,15.619
1672531740000,16542.5,16543,16534,16535,97.484
1672531800000,16535,16540.5,16535,16535,48.44
1672531860000,16535,16535.5,16535,16535,3.777
1672531920000,16535,16535.5,16535,16535,10.503
1672531980000,16535,16535.5,16534,16534,14.01
1672532040000,16534,16534.5,16534,16534,11.613
1672532100000,16534,16535,16534,16534.5,12.887
1672532160000,16534.5,16535,16531.5,16531.5,15.575
1672532220000,16531.5,16532,16531.5,16531.5,9.812
1672532280000,16531.5,16541,16531.5,16540.5,37.447
1672532340000,16540.5,16548,16540.5,16548,15.689
1672532400000,16548,16548,16547.5,16548,7.049
1672532460000,16548,16550,16547.5,16549.5,20.11
1672532520000,16549.5,16550,16546,16546,16.363
1672532580000,16546,16550,16546,16549.5,20.034
1672532640000,16549.5,16550.5,16547,16547,25.933
1672532700000,16547,16552.5,16547,16552,12.18
1672532760000,16552,16553.5,16552,16553,16.181
1672532820000,16553,16553.5,16553,16553,5.874
1672532880000,16553,16554.5,16553,16554.5,3.799
1672532940000,16554.5,16556,16554.5,16555.5,28.957
1672533000000,16555.5,16556,16550.5,16551,14.809
1672533060000,16551,16551,16549,16549,1.954
1672533120000,16549,16549,16546,16546,64.099
1672533180000,16546,16546.5,16543.5,16543.5,26.87
1672533240000,16543.5,16544,16537.5,16537.5,17.199
1672533300000,16537.5,16538,16536,16536.5,22.831
1672533360000,16536.5,16536.5,16532.5,16532.5,34.773
1672533420000,16532.5,16532.5,16524,16527,112.71
1672533480000,16527,16532,16527,16532,117.004
1672533540000,16532,16539.5,16531.5,16539,16.86
1672533600000,16539,16539.5,16539,16539.5,2.671
1672533660000,16539.5,16539.5,16531,16531.5,8.738
1672533720000,16531.5,16531.5,16529,16529,29.469
1672533780000,16529,16531,16529,16530.5,16.457
1672533840000,16530.5,16535,16530.5,16534.5,8.925
1672533900000,16534.5,16535,16534.5,16535,8.743
1672533960000,16535,16536.5,16534.5,16536,4.553
1672534020000,16536,16544,16536,16543.5,4.235
1672534080000,16543.5,16547,16543.5,16546.5,10.171
1672534140000,16546.5,16547.5,16546.5,16547.5,8.099
1672534200000,16547.5,16547.5,16545.5,16545.5,8.468
1672534260000,16545.5,16545.5,16545,16545.5,7.113
1672534320000,16545.5,16545.5,16545,16545,0.753
1672534380000,16545,16545.5,16545,16545,4.833
1672534440000,16545,16545.5,16545,16545.5,2.142
1672534500000,16545.5,16545.5,16545,16545,3.355
1672534560000,16545,16545.5,16545,16545,5.248
1672534620000,16545,16545.5,16545,16545,15.03
1672534680000,16545,16545.5,16545,16545.5,23.242
1672534740000,16545.5,16545.5,16545,16545,12.396
1672534800000,16545,16545.5,16544,16544.5,15.204
1672534860000,16544.5,16544.5,16544,16544,4.722
1672534920000,16544,16550,16544,16549.5,16.144
1672534980000,16549.5,16552.5,16549.5,16552.5,6.655
1672535040000,16552.5,16552.5,16548,16548,23.99
1672535100000,16548,16548.5,16548,16548,0.79
1672535160000,16548,16548.5,16548,16548.5,1.431
1672535220000,16548.5,16548.5,16548,16548.5,4.237
1672535280000,16548.5,16548.5,16548,16548,1.676
1672535340000,16548,16552.5,16548,16552,14.25
1672535400000,16552,16555,16552,16554.5,5.92
1672535460000,16554.5,16555,16554.5,16554.5,9.198
1672535520000,16554.5,16555,16554.5,16555,2.698
1672535580000,16555,16555,16554.5,16554.5,1.899
1672535640000,16554.5,16555,16554.5,16554.5,5.388
1672535700000,16554.5,16555,16554.5,16555,4.98
1672535760000,16555,16555,16551,16551,24.333
1672535820000,16551,16551.5,16551,16551.5,3.339
1672535880000,16551.5,16551.5,16551,16551,3.862
1672535940000,16551,16551.5,16551,16551,8.63
1672536000000,16551,16551.5,16551,16551,3.208
1672536060000,16551,16551.5,16551,16551.5,7.215
1672536120000,16551.5,16551.5,16551,16551,0.862
1672536180000,16551,16551.5,16548,16548.5,6.995
1672536240000,16548.5,16548.5,16548,16548,7.622
